Qin,RECOVERY,CODin,CIin,HARDin,SSin,NH3Nin,CODout,CIout,HARDout,SSout,NH3Nout,LEVEL,YEAR,COST,p1
2400,0.65,50,2000,300,0.2,5,10,60,20,0,1,1,4,1812000,9
2640,0.9,50,2000,300,1,5,50,2000,300,0.2,5,2,4,1132000,6
2400,0.65,50,2000,300,0.2,5,10,60,20,0,1,2,4,1548000,9
240,1,50,2000,1500,5,5,50,2000,150,10,5,1,4,177000,17
240,0.99,50,2000,150,10,5,50,2000,150,3,5,3,4,21000,1
240,0.99,50,2000,150,3,5,50,2000,150,1,5,3,4,21000,1
240,0.99,50,2000,150,1,5,40,2000,150,0.2,4,3,4,30000,2
240,0.7,40,2000,150,0.2,4,10,80,6,0,1,2,4,245020,9
72,0.67,133,6666,500,0.7,13,20,200,30,0,3,2,4,201000,9
24,1,400,20000,1500,2,40,100,1000,50,0,10,2,4,1950000,14
12000,1,10,1500,800,200,0,10,1500,220,20,0,1,4,4330000,17
20,1,5000,20000,800,50,1400,4500,20000,200,50,1200,2,4,100000,17
20,0.75,4500,20000,200,50,1200,1000,1500,100,0.5,300,1,4,1800000,13
40,0.98,10,400,500,0,0,10,400,5,0,0,3,4,300000,3
600,0.9,10,2000,100,1,0.4,10,2000,100,0.1,0.4,3,4,380000,6
550,0.7,10,10000,100,0.1,0.4,2,60,5,0,0.1,2,4,460000,9
165,1,33,33000,330,0.3,1.3,5,200,20,0,0.2,3,4,4752000,15
165,0.9,10,2000,100,1,0.4,10,2000,100,0.1,0.4,3,4,200000,6
150,0.7,10,10000,100,0.1,0.4,2,60,5,0,0.1,2,4,260000,9
45,1,33,33000,330,0.3,1.3,5,200,20,0,0.2,3,4,1852000,15
4800,1,10,1500,800,200,0,10,1500,220,20,0,1,4,3120000,17
720,0.99,50,2400,40,10,5,50,2400,40,1,5,3,4,120000,1
720,0.99,50,2400,40,1,5,30,2400,40,0.5,5,3,4,160000,2
800,0.9,30,2400,40,0.5,5,20,2400,40,0,5,3,4,220000,6
720,0.67,20,2400,40,0,5,5,80,2,0,1,3,4,350000,9
400,1,500,15000,1000,8500,40,500,15000,1000,1,40,1,4,1650000,7
1000,0.9,50,2400,40,10,5,50,2400,40,0.5,5,1,4,650000,6
960,0.67,50,2400,40,0.5,5,10,80,2,0,1,1,4,828750,9
180,1,50,3400,300,10,5,50,3400,300,1,5,3,4,70000,1
5500,0.9,50,5000,100,5,5,45,5000,100,0.5,5,3,4,2867300,6
5000,0.75,45,2000,100,0.5,5,15,80,5,0,1,2,4,4057990,9
1250,0.75,180,8000,400,0.5,20,40,240,30,0,5,2,4,1429320,9
312,1,720,32000,1600,0.5,80,720,32000,150,8,80,3,4,385000,17
312,0.99,720,32000,150,8,80,720,32000,150,0.5,80,3,4,82000,1
312,0.5,720,32000,150,0.5,80,100,1000,10,0,20,2,4,816800,9
155,1,1440,64000,300,1,160,200,2000,10,0,50,3,4,5843590,14
22000,1,100,11000,2000,100,10,100,10000,200,10,8,3,4,2150000,17
22000,0.99,100,10000,200,10,8,100,10000,200,1,8,3,4,2850000,1
22000,0.9,100,10000,200,1,8,80,10000,200,0.2,8,3,4,5250000,6
25400,0.7,80,10000,200,0.2,8,20,500,10,0,2,2,4,9160000,9
21700,0.75,20,700,10,0,3,5,30,1,0,1,3,4,6620000,10
7400,1,250,33000,660,0.7,25,200,3300,200,10,20,3,4,920000,17
7400,0.99,200,33000,200,10,20,200,33000,200,0.5,20,3,4,1340000,1
7400,0.5,200,33000,200,0.5,20,50,1000,10,0,5,2,4,8102400,9
5000,1,150,9000,650,50,15,120,9000,650,0.5,12,2,4,5382000,5
5000,0.99,120,9000,650,0.5,12,120,9000,30,0.5,12,2,4,2930000,3
5000,0.7,120,9000,30,0.5,12,30,400,5,0,4,1,4,5525000,9
1500,0.485,400,30000,100,0.5,40,100,1000,10,0,15,1,4,4825000,9
12000,1,10,1500,1200,400,0,10,1500,250,10,0,1,4,9650000,17
1440,0.99,120,4000,100,1,20,120,4000,100,1,20,2,3,272000,2
1440,0.9,120,4000,100,1,20,100,4000,100,0.1,20,1,3,878000,6
960,0.99,45,3000,300,1,3,45,3000,300,0.2,3,2,3,355000,1
960,0.75,45,3000,300,0.2,3,15,120,20,0,0.5,1,3,1153400,9
7200,1,10,1500,800,200,0,10,1500,220,20,0,1,3,4390000,17
105,0.9,80,1200,500,10,20,75,1200,500,0.1,20,2,3,214500,6
96,0.75,75,1200,500,0.1,20,20,40,20,0,5,2,3,325500,9
3700,0.99,30,25000,800,0.5,2,10,25000,800,0.1,1,3,3,400000,2
3700,0.75,10,25000,800,0.1,1,5,1000,20,0,0.3,2,3,5750000,9
925,1,40,100000,3200,0.4,4,35,100000,320,5,4,2,3,552000,17
925,0.99,35,100000,320,5,4,35,100000,320,0.5,4,3,3,152000,1
925,0.5,35,100000,320,0.5,4,15,3000,8,0,1.5,1,3,21650000,13
462.5,1,70,200000,640,1,8,25,8000,15,0,2,2,3,30000000,15
144,0.99,50,10000,200,0.5,3,40,10000,200,0.1,2,3,3,23200,2
244,0.7,40,9000,180,0.1,2,10,300,10,0,0.5,2,3,232000,9
170,0.85,10,300,10,0,0.5,4,15,1,0,0.2,2,3,194200,10
73.2,1,90,21700,430,0.2,4.3,40,2000,50,0.1,2,3,3,1850000,14
4800,1,15,1000,1200,272,1,15,1000,200,10,1,3,3,920000,17
4800,0.99,15,1000,200,10,1,15,1000,200,1,1,2,3,520000,1
4800,0.9,15,1000,200,1,1,15,1000,200,0.1,1,1,3,2160000,6
4320,0.75,15,1000,200,0.1,1,4,30,6,0,0.3,1,3,3780000,9
108,1,900,95000,36000,20,1440,800,90000,2000,10,1440,3,3,352000,17
108,1,800,90000,2000,10,1440,800,85000,400,10,1440,3,3,352000,17
108,0.94,800,85000,400,10,1440,60,1000,30,0,200,1,3,7230000,16
108,1,900,95000,36000,20,1440,800,90000,2000,10,1440,3,3,352000,17
108,1,800,90000,2000,10,1440,800,85000,400,10,1440,3,3,352000,17
108,1,800,85000,400,10,1440,800,85000,100,0.1,1440,1,3,620000,8
126,0.57,800,85000,100,0.1,1440,100,2500,10,0,600,1,3,3250000,13
72,0.75,100,2500,10,0,600,50,100,1,0,200,2,3,240000,10
72,1,900,95000,36000,20,1440,800,90000,2000,10,1440,3,3,257335,17
72,1,800,90000,2000,10,1440,800,85000,400,10,1440,3,3,257335,17
72,0.94,800,85000,400,10,1440,60,1000,30,0,200,1,3,5285130,16
72,1,900,95000,36000,20,1440,800,90000,2000,10,1440,3,3,305890,17
72,1,800,90000,2000,10,1440,800,85000,400,10,1440,3,3,305890,17
72,1,800,85000,400,10,1440,800,85000,100,0.1,1440,1,3,538780,8
84,0.57,800,85000,100,0.1,1440,100,2500,10,0,600,1,3,2824250,13
48,0.75,100,2500,10,0,600,50,100,1,0,200,2,3,208590,10
2400,0.9,35,2000,100,2,3,30,2000,100,0.2,3,1,3,1452000,6
2160,0.78,30,2000,100,0.2,3,8,60,5,0,1,1,3,1755000,9
1968,0.99,35,2000,100,2,3,35,2000,100,0.5,3,3,3,226700,1
1968,0.99,35,2000,100,0.5,3,15,2000,100,0.5,1,3,3,276490,2
1968,0.9,15,2000,100,0.5,1,12,2000,100,0.1,1,2,3,975000,6
1800,0.75,12,2000,100,0.1,1,5,60,5,0,0.3,2,3,1134000,9
450,0.75,48,8000,400,0.1,4,20,200,10,0,2,2,3,435000,9
112.5,1,192,32000,1600,0.4,16,20,1500,30,0,10,3,3,6250000,15
5280,1,50,4000,800,20,0,50,4000,200,5,0,2,3,1100000,17
5280,0.99,50,4000,200,5,0,50,4000,200,1,0,2,3,620000,1
5280,0.9,50,4000,200,1,0,50,4000,200,0.1,0,1,3,2800000,6
4800,0.65,50,4000,200,0.1,0,5,120,10,0,0,1,3,3980000,9
8880,1,1000,10000,4000,100,40,900,10000,200,10,40,2,3,2057000,17
8880,0.99,1000,10000,200,10,40,900,10000,200,5,40,2,3,943000,1
11880,1,6.4,16252,4253,600,1,6.4,16252,800,100,1,3,3,919210,17
11880,1,6.4,16252,800,100,1,6.4,16252,200,10,1,3,3,1052000,17
11880,0.99,6.4,16252,200,10,1,6.4,16252,200,1,1,3,3,1520000,1
11880,0.9,6.4,16252,200,1,1,6.4,16252,200,0.1,1,1,3,3250000,6
15037,0.65,6.4,16252,200,0.1,1,2,800,20,0,0,1,3,19032500,9
5263,0.805,18,46000,570,0.3,2,18,6000,200,0,1,1,3,66205288,12
350,1,400,18000,300,5500,20,400,18000,300,0.5,20,1,3,1230000,7
350,0.75,400,18000,300,0.5,20,40,720,0.75,0,8,1,3,2168000,9
57,1,600,40000,2000,100,120,600,40000,800,20,120,3,3,320000,17
57,1,600,40000,800,20,120,600,40000,200,2,120,3,3,320000,17
57,0.95,600,40000,200,2,120,600,40000,200,1,120,1,3,22500,4
55,0.9,600,40000,200,1,120,600,40000,200,0.1,120,1,3,265000,6
62,0.613,600,40000,200,0.1,120,180,3000,20,0,36,1,3,2150000,13
38,0.684,180,3000,20,0,36,60,150,10,0,15,1,3,372500,9
50,1,30,2000,10,10,1,30,2000,10,1,1,3,3,127500,1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
砂滤器,1,,,,,,,,,,,,,,
碳滤器,2,,,,,,,,,,,,,,
软化器,3,,,,,,,,,,,,,,
叠片过滤器,4,,,,,,,,,,,,,,
浸没式超滤,5,,,,,,,,,,,,,,
中空纤维超滤,6,,,,,,,,,,,,,,
管式超滤,7,,,,,,,,,,,,,,
管式微滤,8,,,,,,,,,,,,,,
抗污染反渗透,9,,,,,,,,,,,,,,
苦咸水RO,10,,,,,,,,,,,,,,
纳滤,11,,,,,,,,,,,,,,
ED系统,12,,,,,,,,,,,,,,
STRO系统,13,,,,,,,,,,,,,,
多效蒸发器,14,,,,,,,,,,,,,,
MVR蒸发器,15,,,,,,,,,,,,,,
低温膜蒸馏,16,,,,,,,,,,,,,,
混凝沉淀,17,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1，主要组成部件报价金额90%以上为合资，2膜泵等核心进口，主要部件50%以上合资，3只有反渗透膜进口，主要部件50%以以下合资（以报价金额计算）,,,,,,,,,,,,,,,
产水RO2默认为苦咸水RO,,,,,,,,,,,,,,,
